Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,3,0
52,18,0
53,33,0
54,42,0
55,57,0
56,93,0
57,111,0
58,120,0
59,204,0
60,393,0
61,564,0
62,438,0
63,447,0
64,741,0
65,615,0
66,840,0
67,1035,0
68,1938,0
69,2175,0
70,2277,0
71,2637,0
72,5526,0
73,3063,0
74,4362,0
75,4884,0
76,4854,0
77,5688,0
78,5922,0
79,6333,0
80,13992,0
81,8073,0
82,8610,0
83,9312,0
84,9927,0
85,11064,0
86,11706,0
87,21396,0
88,11685,0
89,11760,0
90,12876,0
91,15027,9
92,15870,15
93,16287,27
94,19764,72
95,22935,3
96,19272,162
97,19902,408
98,21927,1248
99,41784,2445
100,29874,5907
101,26763,1671
102,27378,13296
103,24432,24084
104,21759,30840
105,22482,18606
106,37293,37386
107,18621,19137
108,19671,39333
109,17994,35160
110,21387,30411
111,22758,6993
112,17904,25665
113,18627,19050
114,30150,21420
115,14520,19737
116,11823,18489
117,11865,1020
118,12975,17607
119,12531,16104
120,12255,11415
121,13629,15000
122,22977,16161
123,13464,2235
124,14136,12309
125,16629,12231
126,13851,7113
127,7314,16710
128,4305,11472
129,2346,5130
130,915,8673
131,189,7563
132,117,831
133,81,6159
134,3,8112
135,0,7473
136,0,12954
137,0,18168
138,0,36
139,0,19677
140,0,52938
141,0,25845
142,0,4413
143,0,6159
144,0,1491
145,0,4614
146,0,4275
147,0,2970
148,0,1740
149,0,4275
150,0,2304
151,0,4017
152,0,3903
153,0,4485
154,0,1017
155,0,5085
156,0,4629
157,0,5214
158,0,5004
159,0,5826
160,0,123
161,0,4644
162,0,4281
163,0,4242
164,0,4050
165,0,4146
166,0,645
167,0,2934
168,0,2556
169,0,1011
170,0,2160
171,0,2775
172,0,1104
173,0,2226
174,0,2343
175,0,702
176,0,2268
177,0,2298
178,0,1887
179,0,2361
180,0,2298
181,0,87
182,0,2376
183,0,2526
184,0,2805
185,0,2280
186,0,2676
187,0,225
188,0,2289
189,0,2349
190,0,876
191,0,2532
192,0,2553
193,0,1503
194,0,2919
195,0,2682
196,0,687
197,0,1887
198,0,1962
199,0,2097
200,0,2064
201,0,1989
202,0,72
203,0,2136
204,0,1977
205,0,2019
206,0,1644
207,0,2064
208,0,819
209,0,2613
210,0,2325
211,0,2322
212,0,1350
213,0,2583
214,0,666
215,0,2232
216,0,2193
217,0,2103
218,0,90
219,0,2337
220,0,1548
221,0,1911
222,0,2010
223,0,1956
224,0,57
225,0,2043
226,0,1866
227,0,1353
228,0,1635
229,0,1737
230,0,561
231,0,1809
232,0,1611
233,0,972
234,0,1755
235,0,1413
236,0,1080
237,0,1788
238,0,1773
239,0,54
240,0,2427
241,0,1602
242,0,933
243,0,1371
244,0,1227
245,0,12
246,0,1098
247,0,1155
248,0,855
249,0,459
250,0,531
251,0,135
252,0,396
253,0,237
254,0,138
255,0,198
