Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,3,0
68,16,0
69,49,0
70,37,0
71,76,0
72,505,0
73,277,0
74,253,0
75,289,0
76,487,0
77,652,0
78,626,0
79,612,0
80,1244,0
81,699,46
82,716,66
83,1162,25
84,1124,82
85,1395,60
86,1719,14
87,2598,42
88,1251,65
89,1286,2
90,1655,64
91,1631,66
92,1501,31
93,1856,62
94,1800,46
95,1946,0
96,1486,40
97,1192,46
98,992,49
99,1478,25
100,878,49
101,588,12
102,495,44
103,373,61
104,278,58
105,229,15
106,496,45
107,221,18
108,203,45
109,181,47
110,190,49
111,167,7
112,220,45
113,132,39
114,301,48
115,24,39
116,7,34
117,0,0
118,0,45
119,0,43
120,0,38
121,0,47
122,0,39
123,0,15
124,0,37
125,0,39
126,0,27
127,0,50
128,0,48
129,0,20
130,0,48
131,0,41
132,0,16
133,0,61
134,0,64
135,0,41
136,0,68
137,0,56
138,0,2
139,0,63
140,0,71
141,0,73
142,0,63
143,0,107
144,0,13
145,0,89
146,0,131
147,0,130
148,0,58
149,0,179
150,0,122
151,0,272
152,0,251
153,0,245
154,0,29
155,0,293
156,0,129
157,0,209
158,0,224
159,0,237
160,0,0
161,0,243
162,0,245
163,0,139
164,0,255
165,0,255
166,0,33
167,0,222
168,0,224
169,0,99
170,0,273
171,0,251
172,0,141
173,0,283
174,0,291
175,0,58
176,0,314
177,0,358
178,0,287
179,0,420
180,0,498
181,0,16
182,0,461
183,0,546
184,0,570
185,0,489
186,0,715
187,0,125
188,0,694
189,0,780
190,0,295
191,0,845
192,0,993
193,0,491
194,0,1129
195,0,1090
196,0,212
197,0,1116
198,0,1313
199,0,831
200,0,1054
201,0,1060
202,0,1
203,0,1108
204,0,1056
205,0,991
206,0,620
207,0,879
208,0,280
209,0,872
210,0,922
211,0,955
212,0,383
213,0,779
214,0,536
215,0,771
216,0,556
217,0,511
218,0,99
219,0,346
220,0,271
221,0,196
222,0,244
223,0,93
224,0,0
225,0,48
226,0,24
227,0,12
228,0,7
229,0,3
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
