Value,H
0,237
1,233
2,220
3,275
4,368
5,406
6,565
7,567
8,668
9,962
10,1258
11,1374
12,1886
13,1865
14,1354
15,1726
16,1537
17,1592
18,1681
19,1343
20,1260
21,1106
22,935
23,1030
24,930
25,761
26,811
27,620
28,530
29,366
30,534
31,347
32,411
33,357
34,315
35,260
36,255
37,270
38,260
39,204
40,271
41,224
42,249
43,251
44,228
45,262
46,259
47,204
48,258
49,231
50,215
51,202
52,118
53,90
54,79
55,62
56,73
57,64
58,44
59,31
60,50
61,49
62,41
63,37
64,60
65,29
66,35
67,44
68,36
69,57
70,50
71,18
72,47
73,21
74,54
75,55
76,41
77,40
78,41
79,38
80,61
81,41
82,53
83,38
84,66
85,49
86,73
87,61
88,76
89,50
90,66
91,69
92,66
93,68
94,83
95,82
96,83
97,118
98,89
99,81
100,54
101,7
102,2
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,9
357,50
358,74
359,90
360,0
