Value,H
0,233
1,17
2,15
3,7
4,11
5,5
6,10
7,13
8,14
9,11
10,11
11,11
12,8
13,12
14,10
15,8
16,5
17,13
18,4
19,6
20,10
21,9
22,6
23,8
24,8
25,5
26,6
27,3
28,8
29,7
30,8
31,7
32,12
33,5
34,7
35,7
36,4
37,7
38,4
39,6
40,6
41,3
42,5
43,5
44,3
45,13
46,4
47,6
48,7
49,3
50,2
51,3
52,10
53,4
54,5
55,6
56,5
57,5
58,5
59,0
60,49
61,6
62,4
63,3
64,3
65,8
66,5
67,4
68,4
69,7
70,6
71,4
72,7
73,3
74,5
75,15
76,3
77,7
78,7
79,1
80,8
81,11
82,7
83,8
84,7
85,8
86,9
87,11
88,5
89,4
90,18
91,12
92,9
93,12
94,11
95,17
96,20
97,17
98,17
99,16
100,21
101,15
102,12
103,14
104,22
105,20
106,21
107,27
108,35
109,22
110,34
111,34
112,44
113,40
114,63
115,71
116,88
117,104
118,151
119,452
120,458
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,2
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,2
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,35
181,0
182,0
183,0
184,0
185,1
186,1
187,0
188,0
189,0
190,2
191,0
192,2
193,2
194,0
195,1
196,2
197,3
198,2
199,0
200,9
201,2
202,2
203,3
204,3
205,7
206,6
207,7
208,10
209,1
210,33
211,7
212,16
213,22
214,25
215,17
216,38
217,48
218,47
219,46
220,79
221,69
222,91
223,107
224,141
225,153
226,119
227,121
228,124
229,61
230,59
231,32
232,37
233,15
234,18
235,38
236,4
237,3
238,2
239,0
240,95
241,0
242,1
243,4
244,3
245,12
246,10
247,6
248,5
249,1
250,10
251,0
252,2
253,4
254,1
255,6
256,4
257,2
258,0
259,0
260,5
261,1
262,0
263,1
264,3
265,4
266,2
267,1
268,0
269,0
270,4
271,0
272,3
273,1
274,1
275,0
276,3
277,1
278,2
279,0
280,1
281,0
282,2
283,0
284,1
285,1
286,3
287,1
288,2
289,1
290,1
291,1
292,1
293,1
294,2
295,0
296,3
297,0
298,0
299,0
300,25
301,0
302,2
303,5
304,5
305,9
306,7
307,12
308,8
309,10
310,9
311,11
312,14
313,23
314,28
315,53
316,75
317,117
318,343
319,292
320,232
321,237
322,159
323,216
324,279
325,386
326,327
327,413
328,658
329,770
330,922
331,1074
332,1802
333,1257
334,1138
335,1607
336,2574
337,5536
338,5402
339,5003
340,4095
341,1737
342,1556
343,4341
344,1547
345,1750
346,1477
347,1054
348,403
349,220
350,141
351,147
352,100
353,83
354,64
355,54
356,48
357,36
358,30
359,13
360,0
