Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,2,0
17,2,0
18,8,0
19,7,2
20,10,0
21,5,2
22,8,0
23,4,2
24,24,3
25,35,2
26,61,3
27,95,11
28,77,17
29,74,47
30,74,81
31,78,0
32,86,133
33,69,156
34,87,201
35,82,232
36,140,314
37,148,31
38,143,357
39,140,396
40,144,411
41,140,148
42,129,402
43,135,201
44,102,409
45,193,446
46,108,499
47,102,171
48,103,662
49,133,308
50,116,656
51,117,676
52,167,718
53,273,4
54,187,739
55,178,740
56,201,706
57,219,726
58,211,970
59,226,18
60,240,839
61,349,853
62,246,328
63,240,1176
64,346,1291
65,285,577
66,257,1431
67,280,1629
68,263,448
69,286,1764
70,239,1499
71,213,1842
72,357,2401
73,193,2265
74,223,86
75,208,2519
76,166,2357
77,161,2059
78,180,2723
79,190,3222
80,354,665
81,221,4387
82,240,4802
83,247,2378
84,243,4002
85,209,3176
86,233,1123
87,518,2590
88,449,2161
89,594,420
90,594,2086
91,698,2027
92,656,1595
93,702,1819
94,743,1784
95,842,119
96,583,2004
97,578,1752
98,537,1986
99,866,1368
100,665,1777
101,585,516
102,564,1767
103,525,1864
104,553,2087
105,408,1034
106,716,2399
107,411,1205
108,369,2914
109,338,3796
110,353,4983
111,295,1293
112,358,7661
113,386,5927
114,717,9341
115,462,10895
116,504,11966
117,605,700
118,763,11897
119,1421,10695
120,2832,7891
121,3478,8276
122,2603,6423
123,1066,1836
124,1248,4443
125,2971,4094
126,3768,1953
127,4109,2968
128,6800,2700
129,3993,1150
130,5110,1792
131,3350,2004
132,3461,393
133,4652,1816
134,3267,1799
135,2878,1226
136,2864,1042
137,2970,881
138,2438,77
139,2316,785
140,2204,759
141,3714,761
142,2091,630
143,2038,869
144,1855,233
145,1895,814
146,1606,880
147,1741,811
148,1615,472
149,3274,888
150,1884,508
151,2163,918
152,2782,839
153,2357,811
154,2725,237
155,3732,851
156,5810,665
157,4005,886
158,4115,932
159,4351,941
160,6911,188
161,5050,929
162,5486,907
163,5410,707
164,6356,870
165,5454,973
166,5067,373
167,4915,921
168,9229,979
169,4404,508
170,4360,1019
171,4339,904
172,4298,594
173,4269,861
174,4239,823
175,7244,316
176,3446,761
177,3553,1031
178,3512,605
179,3647,872
180,3969,822
181,4222,177
182,3674,820
183,6777,995
184,3023,845
185,2896,625
186,2886,1020
187,2820,422
188,2648,1172
189,2224,1584
190,2660,817
191,2322,2510
192,1701,2314
193,1583,1107
194,2754,2576
195,923,2122
196,1434,864
197,983,1982
198,921,2084
199,619,1481
200,409,1942
201,369,1516
202,625,332
203,206,839
204,174,632
205,136,608
206,98,416
207,60,483
208,33,160
209,24,457
210,17,392
211,4,353
212,2,154
213,4,311
214,3,196
215,1,329
216,0,326
217,0,325
218,1,107
219,1,257
220,1,220
221,2,265
222,0,270
223,0,266
224,0,30
225,1,241
226,0,209
227,0,199
228,0,287
229,0,239
230,0,128
231,0,279
232,0,258
233,0,144
234,0,310
235,0,328
236,0,123
237,0,291
238,0,175
239,0,39
240,0,188
241,0,134
242,0,117
243,0,144
244,0,129
245,0,15
246,0,126
247,0,102
248,0,116
249,0,90
250,0,171
251,0,32
252,0,148
253,0,143
254,0,123
255,0,1382
