Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,1
76,0,0
77,0,2
78,0,10
79,0,17
80,0,12
81,0,16
82,0,20
83,0,21
84,0,29
85,0,27
86,0,21
87,2,41
88,0,29
89,5,36
90,0,38
91,9,32
92,19,28
93,36,22
94,31,27
95,28,27
96,33,17
97,27,40
98,34,27
99,33,24
100,40,37
101,35,42
102,34,50
103,40,40
104,40,48
105,38,50
106,41,38
107,44,59
108,57,46
109,43,64
110,60,44
111,55,51
112,52,43
113,56,39
114,87,43
115,90,47
116,280,51
117,546,47
118,847,51
119,938,56
120,548,74
121,1184,82
122,1773,71
123,3298,70
124,2502,104
125,1017,131
126,2329,189
127,4683,136
128,6916,284
129,6518,52
130,4599,25
131,2639,24
132,2458,46
133,2412,36
134,2070,27
135,1338,26
136,1142,31
137,609,27
138,203,45
139,120,27
140,61,20
141,44,41
142,37,29
143,21,22
144,23,22
145,26,28
146,18,28
147,23,27
148,30,29
149,20,33
150,15,36
151,22,33
152,14,37
153,29,38
154,23,50
155,16,45
156,29,69
157,24,67
158,23,111
159,34,407
160,25,179
161,19,243
162,17,156
163,23,138
164,27,152
165,17,144
166,11,240
167,6,286
168,10,359
169,8,324
170,5,397
171,6,333
172,5,275
173,8,380
174,11,523
175,17,685
176,8,734
177,3,607
178,6,587
179,14,558
180,6,542
181,7,532
182,9,566
183,12,545
184,9,657
185,10,598
186,10,692
187,17,624
188,19,668
189,17,719
190,11,843
191,24,887
192,43,1580
193,37,1150
194,22,1498
195,19,1625
196,18,1479
197,9,1422
198,6,1494
199,6,1718
200,5,1822
201,4,1678
202,1,2148
203,0,3402
204,0,1604
205,1,1057
206,0,601
207,0,377
208,0,364
209,0,403
210,0,410
211,0,295
212,0,487
213,0,724
214,0,398
215,0,408
216,0,528
217,0,444
218,0,132
219,0,390
220,0,319
221,0,51
222,0,34
223,0,48
224,0,70
225,0,50
226,0,53
227,0,53
228,0,37
229,0,36
230,0,41
231,0,56
232,0,52
233,0,62
234,0,50
235,0,74
236,0,71
237,0,53
238,0,55
239,0,65
240,0,90
241,0,158
242,0,194
243,0,194
244,0,219
245,0,331
246,0,403
247,0,381
248,0,352
249,0,144
250,0,113
251,0,128
252,0,35
253,0,27
254,0,19
255,0,20
