Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,1
44,0,4
45,0,5
46,0,3
47,0,5
48,0,7
49,0,4
50,0,15
51,0,20
52,0,49
53,0,2
54,0,112
55,0,249
56,0,315
57,0,631
58,0,886
59,0,261
60,0,1884
61,0,32096
62,0,780
63,0,2091
64,1,1207
65,2,390
66,5,740
67,8,603
68,9,130
69,11,439
70,40,286
71,58,434
72,108,566
73,129,1075
74,110,1
75,136,552
76,176,512
77,112,393
78,115,497
79,85,542
80,143,70
81,80,671
82,62,976
83,65,826
84,66,2431
85,68,128438
86,88,4642
87,152,2530
88,93,1535
89,108,113
90,111,820
91,215,561
92,255,359
93,352,555
94,764,576
95,2204,14
96,23317,1066
97,2510,446
98,2192,367
99,4975,288
100,102501,280
101,1181,69
102,618,227
103,731,231
104,473,236
105,422,160
106,628,245
107,443,120
108,478,255
109,942,323
110,465,348
111,328,139
112,265,512
113,217,577
114,363,1661
115,248,82470
116,305,2307
117,287,122
118,430,1491
119,1149,1163
120,465,1423
121,426,1004
122,453,666
123,270,316
124,258,607
125,311,648
126,579,717
127,1412,1150
128,10565,9441
129,848,252
130,1140,166
131,1393,94
132,2137,93
133,84026,57
134,869,70
135,569,54
136,415,46
137,220,43
138,188,7
139,191,31
140,128,36
141,152,22
142,85,23
143,79,26
144,94,5
145,94,26
146,74,19
147,74,23
148,73,9
149,111,31
150,71,15
151,69,21
152,62,19
153,84,18
154,76,2
155,86,25
156,110,18
157,64,17
158,58,16
159,78,16
160,114,5
161,75,12
162,94,15
163,84,10
164,109,12
165,84,7
166,88,3
167,102,15
168,177,22
169,112,13
170,138,12
171,180,15
172,188,7
173,219,5
174,222,6
175,903,3
176,215,14
177,187,11
178,174,7
179,143,17
180,151,12
181,134,1
182,155,12
183,250,11
184,158,20
185,174,9
186,229,10
187,300,4
188,284,14
189,459,10
190,662,6
191,1045,18
192,1071,24
193,2068,4
194,2478,26
195,30778,30
196,1314,5
197,740,21
198,477,16
199,296,11
200,207,14
201,196,15
202,94,1
203,13,23
204,2,19
205,1,14
206,0,13
207,0,25
208,0,8
209,0,31
210,0,30
211,0,33
212,0,12
213,0,48
214,0,17
215,0,40
216,0,49
217,0,60
218,0,6
219,0,84
220,0,92
221,0,103
222,0,129
223,0,119
224,0,112
225,0,157
226,0,109
227,0,39
228,0,24
229,0,9
230,0,5
231,0,6
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
