Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,5,0
23,13,1
24,31,2
25,52,4
26,80,1
27,581,9
28,4691,5
29,10329,9
30,9792,8
31,7858,13
32,7895,11
33,8120,12
34,7170,13
35,6674,14
36,6185,20
37,5599,21
38,5188,13
39,4619,20
40,3518,23
41,2860,20
42,2791,27
43,2311,26
44,2374,22
45,2296,28
46,2295,21
47,1852,21
48,1575,26
49,1570,31
50,1435,26
51,1445,31
52,1443,27
53,1293,30
54,982,37
55,701,39
56,665,41
57,608,62
58,576,163
59,640,346
60,629,914
61,549,2600
62,428,69474
63,299,4238
64,262,2062
65,212,751
66,175,399
67,159,238
68,157,172
69,123,119
70,128,107
71,138,88
72,137,85
73,128,83
74,100,80
75,94,72
76,85,85
77,69,61
78,74,66
79,79,64
80,71,68
81,60,73
82,57,42
83,44,78
84,53,74
85,44,82
86,49,65
87,41,81
88,45,82
89,33,96
90,31,94
91,36,114
92,35,180
93,35,244
94,35,454
95,24,606
96,28,2734
97,40,809
98,24,569
99,35,594
100,36,819
101,30,1017
102,38,1223
103,36,1610
104,32,2079
105,39,2456
106,34,2194
107,41,2756
108,51,3118
109,45,2946
110,56,3581
111,67,4041
112,65,4079
113,55,3629
114,68,3558
115,70,3400
116,65,3137
117,92,2767
118,175,2052
119,252,1151
120,386,647
121,786,343
122,843,199
123,428,161
124,223,135
125,159,217
126,143,425
127,737,788
128,1258,1166
129,380,344
130,219,228
131,166,264
132,132,398
133,104,533
134,95,461
135,105,420
136,99,325
137,99,237
138,114,156
139,122,138
140,138,84
141,164,76
142,185,59
143,212,60
144,288,50
145,372,52
146,411,63
147,493,57
148,712,53
149,831,44
150,1040,45
151,1156,51
152,1226,64
153,1189,61
154,1106,64
155,1039,58
156,1096,74
157,1094,57
158,1164,77
159,1123,71
160,1072,76
161,1068,77
162,1018,73
163,1058,99
164,997,98
165,1176,124
166,1302,132
167,1533,187
168,1833,167
169,3408,227
170,6808,258
171,7050,320
172,4986,713
173,7923,2425
174,2920,10918
175,571,11813
176,183,9631
177,114,10928
178,119,16470
179,111,20901
180,117,21011
181,117,10272
182,121,3791
183,127,1241
184,126,331
185,140,89
186,157,31
187,141,9
188,193,4
189,274,2
190,379,0
191,851,1
192,1745,0
193,3558,0
194,70040,0
195,2627,0
196,758,0
197,241,0
198,46,0
199,8,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
