Value,H
0,1006
1,3
2,7
3,6
4,8
5,8
6,12
7,10
8,12
9,8
10,24
11,15
12,24
13,18
14,18
15,31
16,27
17,38
18,41
19,32
20,78
21,63
22,69
23,66
24,120
25,117
26,122
27,128
28,217
29,40
30,325
31,234
32,191
33,232
34,204
35,182
36,258
37,285
38,371
39,825
40,2283
41,3262
42,4334
43,5591
44,8464
45,10933
46,18346
47,18473
48,17350
49,17329
50,14452
51,810
52,154
53,77
54,49
55,22
56,6
57,7
58,2
59,4
60,73
61,7
62,5
63,5
64,12
65,9
66,6
67,9
68,5
69,4
70,12
71,5
72,11
73,6
74,4
75,7
76,6
77,1
78,7
79,8
80,10
81,8
82,3
83,11
84,8
85,7
86,5
87,8
88,6
89,9
90,30
91,7
92,1
93,6
94,1
95,0
96,2
97,4
98,6
99,3
100,5
101,1
102,2
103,3
104,3
105,2
106,2
107,1
108,1
109,0
110,2
111,1
112,3
113,0
114,1
115,1
116,4
117,0
118,2
119,1
120,267
121,6
122,5
123,10
124,8
125,7
126,5
127,6
128,5
129,6
130,10
131,4
132,9
133,9
134,3
135,9
136,10
137,8
138,4
139,7
140,14
141,8
142,15
143,9
144,25
145,21
146,20
147,17
148,25
149,18
150,62
151,36
152,18
153,23
154,18
155,24
156,19
157,23
158,24
159,18
160,32
161,9
162,16
163,12
164,15
165,21
166,12
167,19
168,22
169,22
170,27
171,7
172,13
173,15
174,10
175,9
176,13
177,16
178,11
179,6
180,105
181,11
182,10
183,15
184,16
185,16
186,21
187,16
188,11
189,20
190,18
191,19
192,25
193,14
194,22
195,33
196,23
197,25
198,31
199,17
200,64
201,31
202,23
203,34
204,54
205,48
206,51
207,54
208,53
209,54
210,168
211,104
212,221
213,803
214,4246
215,74790
216,2159
217,440
218,289
219,298
220,581
221,798
222,1715
223,3660
224,1848
225,2324
226,3026
227,3421
228,4496
229,4333
230,4898
231,4519
232,4349
233,3992
234,3985
235,4058
236,3146
237,1779
238,1013
239,134
240,526
241,43
242,26
243,23
244,18
245,17
246,30
247,19
248,20
249,19
250,28
251,11
252,35
253,12
254,8
255,22
256,14
257,16
258,13
259,4
260,42
261,6
262,11
263,3
264,16
265,6
266,4
267,15
268,9
269,3
270,59
271,3
272,3
273,4
274,2
275,1
276,7
277,3
278,3
279,3
280,19
281,1
282,1
283,2
284,3
285,14
286,0
287,0
288,8
289,1
290,4
291,4
292,3
293,3
294,2
295,3
296,1
297,2
298,1
299,0
300,82
301,1
302,0
303,3
304,4
305,5
306,3
307,1
308,2
309,0
310,6
311,0
312,5
313,1
314,1
315,7
316,2
317,2
318,1
319,2
320,17
321,1
322,1
323,3
324,4
325,2
326,4
327,2
328,1
329,1
330,43
331,1
332,2
333,3
334,2
335,3
336,5
337,3
338,1
339,0
340,18
341,1
342,2
343,5
344,5
345,18
346,2
347,2
348,9
349,0
350,4
351,2
352,3
353,0
354,4
355,1
356,2
357,6
358,3
359,0
360,0
