Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,2,0
23,18,0
24,98,0
25,704,0
26,4812,0
27,15356,0
28,6028,0
29,3742,0
30,2766,0
31,2184,0
32,1726,0
33,1134,0
34,1316,0
35,592,0
36,574,0
37,662,0
38,356,0
39,366,0
40,390,0
41,346,0
42,306,0
43,288,0
44,278,0
45,534,0
46,236,0
47,276,0
48,250,0
49,226,0
50,234,0
51,202,0
52,232,0
53,446,0
54,210,0
55,184,0
56,228,0
57,188,0
58,222,2
59,270,2
60,250,8
61,292,20
62,206,36
63,196,146
64,232,146
65,216,108
66,278,260
67,206,420
68,242,148
69,220,808
70,202,1294
71,240,4200
72,348,13512
73,330,7304
74,400,52
75,486,7362
76,702,6590
77,942,3644
78,1290,7078
79,1582,5974
80,5350,1640
81,914,6880
82,804,9612
83,548,5560
84,576,9112
85,466,5724
86,514,2782
87,1036,5136
88,678,5038
89,800,1478
90,814,7988
91,764,6622
92,754,12360
93,802,7136
94,766,5932
95,1010,180
96,1118,5206
97,772,4710
98,652,4536
99,1174,3238
100,990,4370
101,852,988
102,1012,4608
103,1282,5420
104,1512,5750
105,1626,4740
106,2952,11088
107,1492,4526
108,1250,8464
109,1260,9548
110,1174,10852
111,1176,1566
112,1100,16346
113,1162,16140
114,2708,22016
115,1738,24562
116,1632,17882
117,1676,94
118,1896,19930
119,1794,19984
120,1574,11862
121,2064,12466
122,3806,10750
123,2424,3272
124,2632,10768
125,4106,10730
126,4240,4192
127,5428,13004
128,6888,14830
129,5860,3154
130,11466,8998
131,10306,6578
132,14602,424
133,32384,6706
134,37088,5706
135,33418,3264
136,43056,3970
137,23354,4086
138,16812,122
139,14180,2854
140,12796,2022
141,18462,1320
142,8498,924
143,9156,1152
144,7242,254
145,4882,1212
146,3788,1184
147,3458,1392
148,2832,704
149,5196,1630
150,2620,836
151,2412,1700
152,2450,1816
153,2740,1920
154,2404,568
155,3310,2300
156,5068,2052
157,3960,7624
158,4622,3238
159,6014,2900
160,14950,90
161,3706,2764
162,3032,2684
163,2442,2314
164,2542,4226
165,1430,5754
166,1378,1960
167,1346,13456
168,2480,15020
169,1258,2144
170,1334,1844
171,1612,952
172,1652,450
173,1834,542
174,1936,418
175,3448,56
176,1648,358
177,1450,262
178,1602,146
179,1626,114
180,1652,152
181,1730,12
182,1368,136
183,2694,114
184,1550,120
185,1484,102
186,1816,100
187,2162,34
188,1184,78
189,1512,62
190,2622,52
191,4914,70
192,4426,94
193,6120,26
194,18722,92
195,9866,92
196,1146,8
197,752,106
198,388,94
199,272,28
200,120,106
201,72,88
202,72,4
203,6,76
204,6,94
205,2,94
206,0,86
207,0,112
208,0,38
209,0,120
210,0,186
211,0,240
212,0,110
213,0,300
214,0,162
215,0,310
216,0,194
217,0,124
218,0,30
219,0,68
220,0,54
221,0,62
222,0,62
223,0,52
224,0,0
225,0,68
226,0,52
227,0,72
228,0,116
229,0,148
230,0,42
231,0,160
232,0,152
233,0,18
234,0,126
235,0,86
236,0,16
237,0,30
238,0,28
239,0,0
240,0,14
241,0,0
242,0,8
243,0,2
244,0,2
245,0,0
246,0,0
247,0,6
248,0,2
249,0,6
250,0,4
251,0,0
252,0,0
253,0,0
254,0,2
255,0,0
