Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,3,0
68,16,0
69,49,0
70,37,0
71,76,0
72,506,0
73,280,0
74,256,0
75,301,0
76,511,0
77,677,0
78,664,0
79,662,19
80,1375,16
81,776,109
82,812,147
83,1276,74
84,1236,159
85,1531,114
86,1830,44
87,2823,110
88,1367,135
89,1404,18
90,1773,123
91,1791,116
92,1626,68
93,2062,116
94,2369,103
95,3050,0
96,3940,89
97,3477,89
98,3508,90
99,6130,56
100,4691,97
101,3235,17
102,3099,105
103,2674,102
104,2196,106
105,1812,36
106,2952,84
107,1264,34
108,1115,93
109,932,92
110,917,85
111,756,24
112,726,86
113,569,71
114,880,85
115,443,80
116,415,88
117,336,6
118,358,95
119,206,81
120,108,75
121,82,86
122,79,81
123,36,28
124,19,81
125,10,63
126,5,54
127,1,88
128,0,78
129,0,42
130,0,89
131,0,72
132,0,30
133,0,103
134,0,98
135,0,77
136,0,106
137,0,100
138,0,20
139,0,89
140,0,118
141,0,110
142,0,96
143,0,151
144,0,30
145,0,136
146,0,162
147,0,166
148,0,83
149,0,220
150,0,142
151,0,312
152,0,298
153,0,283
154,0,54
155,0,331
156,0,171
157,0,287
158,0,289
159,0,327
160,0,40
161,0,304
162,0,357
163,0,208
164,0,355
165,0,400
166,0,56
167,0,361
168,0,397
169,0,192
170,0,417
171,0,387
172,0,192
173,0,394
174,0,404
175,0,113
176,0,425
177,0,497
178,0,387
179,0,600
180,0,704
181,0,18
182,0,680
183,0,782
184,0,802
185,0,689
186,0,948
187,0,164
188,0,950
189,0,1025
190,0,400
191,0,1116
192,0,1324
193,0,634
194,0,1431
195,0,1416
196,0,285
197,0,1400
198,0,1554
199,0,1102
200,0,1369
201,0,1344
202,0,1
203,0,1421
204,0,1360
205,0,1300
206,0,830
207,0,1244
208,0,366
209,0,1231
210,0,1298
211,0,1333
212,0,502
213,0,1279
214,0,708
215,0,1242
216,0,997
217,0,1037
218,0,111
219,0,895
220,0,931
221,0,991
222,0,1064
223,0,929
224,0,0
225,0,932
226,0,901
227,0,590
228,0,989
229,0,927
230,0,416
231,0,1317
232,0,1500
233,0,857
234,0,1996
235,0,2165
236,0,1130
237,0,2458
238,0,2234
239,0,24
240,0,2162
241,0,813
242,0,304
243,0,149
244,0,34
245,0,0
246,0,12
247,0,3
248,0,4
249,0,1
250,0,3
251,0,1
252,0,0
253,0,2
254,0,1
255,0,4
