Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,3,0
75,6,0
76,10,0
77,14,0
78,19,0
79,35,0
80,73,0
81,38,0
82,49,0
83,48,0
84,57,0
85,90,0
86,101,0
87,352,0
88,275,0
89,333,0
90,366,0
91,610,0
92,557,0
93,795,0
94,941,0
95,1367,0
96,1006,0
97,1129,0
98,1266,0
99,2409,0
100,1777,0
101,1369,0
102,1964,0
103,1881,0
104,1836,12
105,2033,25
106,4252,49
107,2186,12
108,2389,72
109,2353,88
110,2364,97
111,2359,46
112,2243,151
113,2137,211
114,4319,618
115,2221,1138
116,2203,3184
117,2160,1
118,2266,8236
119,2202,22393
120,2032,25482
121,1962,11449
122,3332,23867
123,1841,17943
124,2568,38182
125,6238,19324
126,7594,9955
127,6302,16378
128,7505,24128
129,14719,6419
130,18238,14957
131,11805,7677
132,15051,916
133,58071,6068
134,41217,5219
135,21741,2949
136,16665,3518
137,6347,3020
138,1901,8
139,1058,2744
140,523,2681
141,609,2675
142,243,1642
143,235,1962
144,213,395
145,171,1547
146,141,1211
147,124,1089
148,93,378
149,112,1021
150,27,347
151,28,773
152,15,740
153,14,778
154,2,221
155,0,662
156,0,612
157,0,667
158,0,647
159,0,541
160,0,13
161,0,478
162,0,406
163,0,267
164,0,302
165,0,295
166,0,46
167,0,243
168,0,261
169,0,106
170,0,221
171,0,214
172,0,79
173,0,152
174,0,129
175,0,26
176,0,143
177,0,104
178,0,104
179,0,129
180,0,121
181,0,9
182,0,123
183,0,124
184,0,105
185,0,96
186,0,109
187,0,32
188,0,112
189,0,108
190,0,31
191,0,133
192,0,136
193,0,63
194,0,127
195,0,129
196,0,14
197,0,97
198,0,107
199,0,99
200,0,129
201,0,122
202,0,4
203,0,135
204,0,133
205,0,133
206,0,97
207,0,151
208,0,56
209,0,162
210,0,157
211,0,179
212,0,80
213,0,118
214,0,52
215,0,131
216,0,116
217,0,117
218,0,26
219,0,122
220,0,90
221,0,89
222,0,87
223,0,110
224,0,4
225,0,77
226,0,102
227,0,72
228,0,103
229,0,99
230,0,32
231,0,108
232,0,86
233,0,36
234,0,84
235,0,96
236,0,69
237,0,101
238,0,77
239,0,11
240,0,78
241,0,62
242,0,39
243,0,52
244,0,64
245,0,2
246,0,50
247,0,48
248,0,53
249,0,35
250,0,38
251,0,17
252,0,37
253,0,28
254,0,26
255,0,100
