Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,1,0
32,2,0
33,4,0
34,7,0
35,5,0
36,16,0
37,8,0
38,15,0
39,21,0
40,33,0
41,37,0
42,56,0
43,50,0
44,51,0
45,48,0
46,79,0
47,78,0
48,61,0
49,85,0
50,87,0
51,61,0
52,69,0
53,87,0
54,64,0
55,87,0
56,88,0
57,85,0
58,102,0
59,115,0
60,143,0
61,139,0
62,145,0
63,153,0
64,172,0
65,158,0
66,197,0
67,192,0
68,195,0
69,241,0
70,212,0
71,260,0
72,267,0
73,351,0
74,468,0
75,623,0
76,729,0
77,989,0
78,1127,6
79,1395,10
80,1501,79
81,1686,140
82,1872,174
83,2017,212
84,2248,181
85,2297,370
86,2434,116
87,2481,103
88,2594,130
89,2683,104
90,2780,116
91,2975,141
92,3197,155
93,3484,197
94,3477,214
95,3509,337
96,3279,446
97,3194,583
98,3243,630
99,3144,602
100,3309,680
101,3115,666
102,3167,665
103,3055,571
104,3012,562
105,2759,490
106,2638,477
107,2395,460
108,2044,377
109,1847,334
110,1586,277
111,1393,289
112,1049,234
113,921,205
114,717,202
115,749,205
116,784,142
117,751,129
118,633,138
119,555,146
120,378,133
121,294,143
122,144,104
123,42,116
124,6,166
125,1,117
126,0,101
127,0,133
128,0,60
129,0,60
130,0,33
131,0,33
132,0,28
133,0,24
134,0,18
135,0,29
136,0,32
137,0,23
138,0,22
139,0,32
140,0,29
141,0,30
142,0,39
143,0,56
144,0,58
145,0,61
146,0,65
147,0,96
148,0,101
149,0,113
150,0,186
151,0,179
152,0,221
153,0,239
154,0,272
155,0,345
156,0,351
157,0,388
158,0,439
159,0,455
160,0,532
161,0,497
162,0,586
163,0,568
164,0,701
165,0,724
166,0,653
167,0,669
168,0,764
169,0,810
170,0,756
171,0,789
172,0,744
173,0,783
174,0,736
175,0,748
176,0,734
177,0,760
178,0,767
179,0,721
180,0,704
181,0,798
182,0,766
183,0,701
184,0,696
185,0,723
186,0,743
187,0,768
188,0,744
189,0,729
190,0,860
191,0,840
192,0,859
193,0,920
194,0,969
195,0,1002
196,0,1054
197,0,1001
198,0,1029
199,0,995
200,0,964
201,0,838
202,0,902
203,0,898
204,0,836
205,0,871
206,0,815
207,0,862
208,0,762
209,0,752
210,0,784
211,0,752
212,0,783
213,0,810
214,0,747
215,0,738
216,0,736
217,0,742
218,0,683
219,0,743
220,0,731
221,0,688
222,0,777
223,0,795
224,0,802
225,0,769
226,0,798
227,0,862
228,0,806
229,0,835
230,0,814
231,0,876
232,0,923
233,0,921
234,0,945
235,0,959
236,0,930
237,0,977
238,0,928
239,0,913
240,0,875
241,0,829
242,0,743
243,0,721
244,0,716
245,0,700
246,0,735
247,0,661
248,0,667
249,0,633
250,0,616
251,0,680
252,0,691
253,0,651
254,0,616
255,0,9128
