Value,H
0,3724
1,2768
2,2717
3,2811
4,2816
5,2715
6,2710
7,2508
8,2621
9,2513
10,2461
11,2321
12,2586
13,2894
14,3090
15,3891
16,4057
17,4045
18,3687
19,2808
20,2765
21,2145
22,1784
23,1222
24,937
25,628
26,457
27,320
28,322
29,227
30,257
31,183
32,190
33,192
34,156
35,152
36,178
37,164
38,148
39,124
40,156
41,139
42,131
43,129
44,118
45,149
46,174
47,170
48,222
49,214
50,164
51,135
52,117
53,60
54,45
55,19
56,19
57,21
58,17
59,6
60,31
61,21
62,21
63,26
64,19
65,31
66,30
67,39
68,42
69,72
70,121
71,135
72,188
73,135
74,120
75,169
76,158
77,188
78,218
79,174
80,346
81,347
82,347
83,382
84,438
85,431
86,503
87,554
88,550
89,531
90,714
91,594
92,568
93,588
94,564
95,471
96,398
97,379
98,311
99,284
100,254
101,248
102,406
103,268
104,214
105,152
106,136
107,88
108,103
109,65
110,55
111,59
112,50
113,46
114,33
115,24
116,16
117,17
118,7
119,8
120,16
121,14
122,14
123,12
124,18
125,24
126,19
127,10
128,1
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,8
345,36
346,123
347,168
348,272
349,307
350,422
351,553
352,784
353,989
354,1223
355,1405
356,1544
357,1616
358,1751
359,1782
360,0
