Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,30,0
80,116,0
81,76,0
82,110,0
83,94,0
84,70,0
85,94,0
86,108,0
87,238,0
88,170,0
89,212,0
90,310,0
91,688,0
92,488,0
93,1052,0
94,852,0
95,1508,0
96,1182,0
97,1530,0
98,2050,0
99,3652,0
100,2922,0
101,2320,0
102,2958,0
103,4336,0
104,3882,0
105,5700,0
106,11148,0
107,6212,0
108,8428,0
109,8384,0
110,7396,0
111,7930,0
112,9260,0
113,5504,0
114,6688,0
115,3016,0
116,3010,0
117,2884,0
118,5558,0
119,29320,2
120,9962,2
121,29678,4
122,38556,4
123,10446,2
124,28092,174
125,50776,792
126,277432,1674
127,6654,8538
128,8702,110418
129,1548,104898
130,990,153430
131,36,36704
132,26,4626
133,10,29006
134,6,47262
135,0,24890
136,0,16488
137,0,7674
138,0,112
139,0,4838
140,0,3568
141,0,4022
142,0,3410
143,0,3594
144,0,818
145,0,3714
146,0,3332
147,0,2936
148,0,854
149,0,2102
150,0,1186
151,0,1700
152,0,1388
153,0,1404
154,0,502
155,0,1108
156,0,748
157,0,782
158,0,794
159,0,546
160,0,34
161,0,572
162,0,506
163,0,360
164,0,570
165,0,418
166,0,100
167,0,412
168,0,454
169,0,212
170,0,558
171,0,510
172,0,192
173,0,482
174,0,466
175,0,22
176,0,472
177,0,562
178,0,310
179,0,464
180,0,536
181,0,0
182,0,524
183,0,566
184,0,552
185,0,522
186,0,686
187,0,176
188,0,754
189,0,898
190,0,328
191,0,1044
192,0,1510
193,0,368
194,0,1268
195,0,1416
196,0,472
197,0,1114
198,0,1210
199,0,1020
200,0,794
201,0,462
202,0,0
203,0,238
204,0,128
205,0,40
206,0,14
207,0,10
208,0,14
209,0,10
210,0,4
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
