Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,5,0
69,8,0
70,11,0
71,26,0
72,67,0
73,82,0
74,147,0
75,337,0
76,153,0
77,242,1
78,286,5
79,297,63
80,802,10
81,461,108
82,501,119
83,521,51
84,526,146
85,512,71
86,490,47
87,987,78
88,577,100
89,563,17
90,523,130
91,463,132
92,422,40
93,457,82
94,490,114
95,310,4
96,183,91
97,213,68
98,181,65
99,332,66
100,169,83
101,136,13
102,134,59
103,109,49
104,175,74
105,172,104
106,221,70
107,140,25
108,209,44
109,248,54
110,194,48
111,169,29
112,158,82
113,305,40
114,1046,85
115,860,51
116,1204,171
117,1588,65
118,5742,82
119,1459,78
120,828,78
121,537,47
122,298,71
123,87,36
124,39,76
125,22,76
126,11,34
127,6,51
128,3,74
129,4,55
130,2,104
131,0,140
132,0,39
133,0,108
134,0,103
135,0,65
136,0,115
137,0,103
138,0,9
139,0,94
140,0,85
141,0,63
142,0,43
143,0,53
144,0,11
145,0,67
146,0,168
147,0,128
148,0,24
149,0,121
150,0,50
151,0,83
152,0,97
153,0,82
154,0,19
155,0,111
156,0,81
157,0,166
158,0,183
159,0,116
160,0,2
161,0,75
162,0,94
163,0,84
164,0,94
165,0,80
166,0,34
167,0,164
168,0,156
169,0,66
170,0,137
171,0,198
172,0,85
173,0,131
174,0,87
175,0,67
176,0,121
177,0,136
178,0,108
179,0,224
180,0,249
181,0,23
182,0,185
183,0,217
184,0,212
185,0,331
186,0,339
187,0,32
188,0,329
189,0,381
190,0,157
191,0,334
192,0,429
193,0,134
194,0,272
195,0,399
196,0,119
197,0,555
198,0,770
199,0,948
200,0,1671
201,0,7404
202,0,2
203,0,2278
204,0,843
205,0,336
206,0,114
207,0,66
208,0,19
209,0,16
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
