Value,H
0,202
1,141
2,191
3,186
4,113
5,122
6,118
7,136
8,64
9,144
10,93
11,134
12,78
13,123
14,186
15,184
16,88
17,151
18,119
19,121
20,158
21,167
22,117
23,149
24,154
25,156
26,169
27,259
28,199
29,164
30,243
31,239
32,216
33,200
34,163
35,162
36,211
37,192
38,232
39,235
40,174
41,166
42,139
43,150
44,259
45,186
46,178
47,132
48,121
49,136
50,100
51,118
52,106
53,117
54,71
55,68
56,84
57,63
58,98
59,60
60,85
61,36
62,96
63,70
64,106
65,95
66,104
67,53
68,89
69,51
70,46
71,26
72,66
73,74
74,38
75,59
76,47
77,42
78,105
79,46
80,82
81,81
82,151
83,54
84,55
85,90
86,48
87,66
88,51
89,47
90,92
91,70
92,107
93,83
94,107
95,84
96,115
97,112
98,76
99,190
100,175
101,248
102,196
103,149
104,104
105,89
106,44
107,25
108,7
109,11
110,4
111,3
112,2
113,2
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,5
338,3
339,2
340,6
341,8
342,24
343,39
344,80
345,111
346,440
347,391
348,946
349,1247
350,5764
351,1630
352,1134
353,716
354,596
355,527
356,304
357,116
358,130
359,71
360,0
