Value,H
0,45
1,3
2,7
3,6
4,8
5,8
6,12
7,10
8,12
9,8
10,22
11,15
12,23
13,18
14,18
15,27
16,27
17,38
18,41
19,32
20,71
21,63
22,69
23,66
24,120
25,117
26,122
27,128
28,217
29,40
30,310
31,234
32,191
33,232
34,204
35,182
36,258
37,285
38,371
39,825
40,2282
41,3262
42,4334
43,5591
44,8464
45,10933
46,18346
47,18473
48,17350
49,17329
50,14452
51,810
52,154
53,77
54,49
55,22
56,6
57,7
58,2
59,4
60,37
61,7
62,5
63,5
64,12
65,9
66,6
67,9
68,5
69,4
70,12
71,5
72,11
73,6
74,4
75,6
76,6
77,1
78,7
79,8
80,9
81,8
82,3
83,11
84,8
85,7
86,5
87,8
88,6
89,9
90,13
91,7
92,1
93,6
94,1
95,0
96,2
97,3
98,3
99,2
100,1
101,1
102,0
103,2
104,1
105,0
106,0
107,0
108,0
109,0
110,2
111,1
112,2
113,0
114,1
115,1
116,4
117,0
118,2
119,0
120,4
121,0
122,3
123,2
124,4
125,3
126,4
127,4
128,2
129,3
130,3
131,4
132,7
133,5
134,3
135,4
136,8
137,6
138,3
139,3
140,5
141,3
142,3
143,4
144,7
145,1
146,3
147,4
148,1
149,1
150,3
151,5
152,4
153,1
154,4
155,3
156,3
157,5
158,5
159,4
160,2
161,0
162,2
163,0
164,1
165,2
166,2
167,1
168,1
169,4
170,5
171,2
172,3
173,3
174,1
175,2
176,0
177,1
178,2
179,0
180,6
181,0
182,3
183,2
184,1
185,2
186,2
187,3
188,2
189,1
190,4
191,1
192,1
193,0
194,2
195,4
196,4
197,2
198,5
199,1
200,5
201,2
202,5
203,2
204,3
205,2
206,4
207,3
208,6
209,1
210,14
211,8
212,8
213,10
214,17
215,25
216,41
217,57
218,100
219,152
220,316
221,511
222,865
223,1246
224,1553
225,2201
226,2977
227,3391
228,4430
229,4307
230,4848
231,4476
232,4315
233,3968
234,3957
235,4035
236,3129
237,1777
238,1012
239,134
240,139
241,43
242,26
243,23
244,16
245,13
246,24
247,16
248,13
249,17
250,12
251,11
252,16
253,10
254,8
255,5
256,14
257,10
258,9
259,4
260,8
261,6
262,9
263,3
264,8
265,4
266,4
267,15
268,9
269,3
270,9
271,3
272,3
273,4
274,2
275,1
276,2
277,3
278,3
279,3
280,2
281,1
282,1
283,2
284,3
285,4
286,0
287,0
288,2
289,1
290,3
291,4
292,3
293,3
294,2
295,3
296,1
297,2
298,1
299,0
300,3
301,1
302,0
303,3
304,4
305,5
306,3
307,1
308,1
309,0
310,3
311,0
312,2
313,1
314,1
315,1
316,2
317,2
318,1
319,2
320,1
321,1
322,1
323,3
324,1
325,1
326,3
327,2
328,1
329,1
330,5
331,1
332,2
333,3
334,2
335,3
336,2
337,3
338,1
339,0
340,4
341,1
342,0
343,5
344,5
345,2
346,2
347,2
348,1
349,0
350,2
351,1
352,3
353,0
354,4
355,1
356,2
357,6
358,3
359,0
360,0
