Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,4,0
32,6,0
33,35,0
34,100,0
35,124,0
36,127,0
37,141,0
38,113,0
39,114,0
40,113,0
41,77,0
42,32,0
43,47,0
44,43,0
45,66,0
46,20,0
47,31,0
48,19,0
49,21,0
50,24,0
51,25,0
52,33,0
53,79,0
54,75,0
55,87,0
56,157,0
57,199,0
58,276,0
59,345,0
60,528,0
61,1190,0
62,743,0
63,797,0
64,1032,0
65,1246,0
66,1045,0
67,993,0
68,1287,0
69,1691,0
70,1431,0
71,1568,0
72,3035,0
73,1821,0
74,1870,0
75,1924,0
76,1978,8
77,2003,15
78,1946,17
79,1869,16
80,3557,10
81,1672,21
82,1589,27
83,1537,16
84,1410,29
85,1353,45
86,1553,17
87,2808,48
88,1451,83
89,1435,1
90,1609,116
91,2020,208
92,1684,136
93,1782,329
94,2151,461
95,4031,5
96,2814,1098
97,2904,1494
98,3261,1401
99,6088,1588
100,4672,3217
101,4267,1102
102,3776,3556
103,6093,7308
104,5573,5166
105,6239,2456
106,13925,2058
107,7499,715
108,7645,1556
109,7551,1301
110,7801,1535
111,8112,513
112,8598,1530
113,8764,906
114,17154,1363
115,7996,1315
116,7418,1221
117,7599,52
118,8779,1102
119,7894,937
120,6701,790
121,7273,1231
122,9660,1577
123,5188,294
124,6147,2589
125,12662,5486
126,4384,5611
127,2507,20039
128,2173,29727
129,1523,15527
130,1549,29929
131,783,30365
132,532,4959
133,601,26310
134,259,26424
135,182,14374
136,190,13316
137,179,10885
138,138,122
139,130,7221
140,108,5608
141,249,2946
142,110,1268
143,145,1126
144,133,232
145,120,563
146,144,359
147,206,247
148,205,82
149,379,149
150,198,40
151,232,87
152,447,73
153,859,79
154,982,15
155,1237,82
156,926,67
157,673,104
158,232,152
159,130,168
160,69,20
161,19,209
162,15,214
163,9,161
164,14,117
165,3,91
166,1,14
167,0,35
168,0,11
169,0,6
170,0,1
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
