Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,10,0
46,11,0
47,16,0
48,28,0
49,72,0
50,121,0
51,169,0
52,274,0
53,693,0
54,772,0
55,362,0
56,320,0
57,370,0
58,306,0
59,134,0
60,75,0
61,94,0
62,41,0
63,53,0
64,52,0
65,66,0
66,36,0
67,37,0
68,28,0
69,30,0
70,34,0
71,34,0
72,76,0
73,30,0
74,24,0
75,26,0
76,21,0
77,27,0
78,18,2
79,37,12
80,72,4
81,30,23
82,31,32
83,42,11
84,44,14
85,51,15
86,57,12
87,142,80
88,63,71
89,54,5
90,96,22
91,61,28
92,51,9
93,52,19
94,23,18
95,49,2
96,33,16
97,30,24
98,27,17
99,31,16
100,34,17
101,18,8
102,13,22
103,58,18
104,23,16
105,18,16
106,13,21
107,7,6
108,8,19
109,9,24
110,14,15
111,9,19
112,8,34
113,15,44
114,14,60
115,19,36
116,19,18
117,39,5
118,23,12
119,68,17
120,71,12
121,32,8
122,41,27
123,19,4
124,27,29
125,30,27
126,21,22
127,8,58
128,9,145
129,3,56
130,7,59
131,9,62
132,3,19
133,1,102
134,0,140
135,1,47
136,0,110
137,0,86
138,0,4
139,0,212
140,0,142
141,0,191
142,0,349
143,0,661
144,0,114
145,0,1140
146,0,821
147,0,491
148,0,126
149,0,63
150,0,17
151,0,11
152,0,10
153,0,2
154,0,1
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
