Value,H
0,3
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,1
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,2
18,0
19,0
20,0
21,3
22,3
23,0
24,1
25,0
26,4
27,3
28,0
29,0
30,4
31,0
32,2
33,3
34,5
35,1
36,2
37,3
38,1
39,1
40,6
41,2
42,7
43,6
44,2
45,6
46,0
47,2
48,13
49,2
50,8
51,13
52,11
53,12
54,10
55,37
56,87
57,316
58,931
59,1248
60,1034
61,645
62,261
63,137
64,86
65,38
66,32
67,35
68,90
69,44
70,37
71,9
72,29
73,21
74,10
75,17
76,12
77,15
78,6
79,9
80,6
81,7
82,10
83,5
84,11
85,4
86,6
87,6
88,6
89,4
90,7
91,6
92,10
93,4
94,8
95,21
96,25
97,21
98,23
99,30
100,39
101,49
102,69
103,66
104,58
105,22
106,27
107,25
108,15
109,11
110,10
111,10
112,6
113,7
114,4
115,3
116,4
117,3
118,3
119,1
120,224
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,4
241,0
242,0
243,0
244,1
245,0
246,0
247,4
248,0
249,0
250,5
251,0
252,3
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,2
277,0
278,0
279,0
280,2
281,0
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,2
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,0
