Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,1673,0
21,1953,0
22,2006,0
23,2369,0
24,4019,0
25,5975,0
26,5589,0
27,3590,0
28,3740,0
29,2852,0
30,3210,0
31,3280,0
32,3308,0
33,3211,0
34,2969,0
35,2041,0
36,1709,0
37,1764,0
38,1492,0
39,1269,0
40,1120,0
41,1102,0
42,1152,0
43,1077,0
44,899,0
45,953,0
46,758,0
47,686,0
48,769,0
49,732,0
50,623,0
51,591,0
52,538,0
53,677,0
54,510,0
55,544,0
56,423,0
57,323,0
58,271,0
59,222,0
60,219,0
61,203,0
62,204,0
63,183,0
64,185,0
65,152,0
66,150,0
67,146,0
68,126,0
69,78,0
70,76,0
71,91,0
72,67,0
73,65,0
74,69,0
75,67,0
76,70,1
77,77,3
78,79,6
79,76,2
80,81,3
81,87,1
82,90,3
83,104,7
84,123,6
85,117,8
86,143,6
87,239,12
88,273,20
89,265,19
90,359,38
91,444,51
92,309,33
93,208,40
94,144,33
95,86,28
96,31,41
97,15,33
98,16,37
99,18,29
100,17,29
101,26,25
102,21,25
103,28,33
104,31,30
105,27,30
106,29,42
107,26,34
108,27,41
109,34,33
110,38,33
111,54,35
112,58,33
113,66,42
114,73,44
115,79,40
116,95,45
117,119,42
118,128,47
119,189,45
120,228,54
121,249,43
122,305,67
123,221,60
124,192,63
125,108,119
126,42,74
127,14,140
128,2,137
129,0,140
130,0,113
131,0,143
132,0,107
133,0,99
134,0,78
135,0,91
136,0,91
137,0,95
138,0,106
139,0,106
140,0,109
141,0,130
142,0,145
143,0,177
144,0,179
145,0,262
146,0,228
147,0,161
148,0,159
149,0,156
150,0,149
151,0,164
152,0,139
153,0,193
154,0,247
155,0,348
156,0,490
157,0,1137
158,0,4619
159,0,2100
160,0,1463
161,0,2570
162,0,3804
163,0,4084
164,0,5768
165,0,4049
166,0,2920
167,0,4115
168,0,3824
169,0,2978
170,0,3647
171,0,2952
172,0,1941
173,0,2540
174,0,2234
175,0,1676
176,0,3225
177,0,3152
178,0,1777
179,0,1395
180,0,1149
181,0,509
182,0,647
183,0,203
184,0,67
185,0,52
186,0,42
187,0,49
188,0,36
189,0,45
190,0,25
191,0,32
192,0,25
193,0,19
194,0,18
195,0,24
196,0,28
197,0,25
198,0,15
199,0,25
200,0,18
201,0,23
202,0,17
203,0,21
204,0,14
205,0,18
206,0,18
207,0,21
208,0,19
209,0,22
210,0,17
211,0,20
212,0,10
213,0,20
214,0,23
215,0,20
216,0,24
217,0,19
218,0,25
219,0,25
220,0,26
221,0,14
222,0,17
223,0,23
224,0,27
225,0,28
226,0,20
227,0,38
228,0,29
229,0,22
230,0,30
231,0,35
232,0,37
233,0,37
234,0,45
235,0,43
236,0,69
237,0,61
238,0,96
239,0,102
240,0,112
241,0,130
242,0,151
243,0,105
244,0,118
245,0,128
246,0,97
247,0,100
248,0,54
249,0,49
250,0,52
251,0,58
252,0,37
253,0,42
254,0,20
255,0,49
