Value,R,G,B
0,419,4,6522
1,503,25,7044
2,173,20,9319
3,135,33,9619
4,128,24,9851
5,108,32,8065
6,120,33,6251
7,67,36,4953
8,73,42,4147
9,69,44,3026
10,64,30,2447
11,56,29,1727
12,75,26,1517
13,72,34,1178
14,51,39,905
15,66,27,624
16,74,33,515
17,50,23,395
18,79,26,379
19,70,31,301
20,76,38,271
21,97,61,258
22,104,90,225
23,104,118,197
24,144,121,203
25,110,122,168
26,132,115,148
27,127,118,164
28,100,103,141
29,104,62,138
30,76,41,136
31,85,44,132
32,84,42,127
33,61,24,126
34,49,25,119
35,54,25,105
36,67,21,102
37,65,17,115
38,69,21,87
39,52,15,114
40,69,15,99
41,64,18,98
42,49,18,111
43,59,22,84
44,47,27,136
45,51,24,141
46,54,27,156
47,37,27,132
48,33,37,117
49,34,31,104
50,36,43,106
51,30,45,101
52,25,40,87
53,24,54,93
54,34,50,87
55,21,55,86
56,25,65,75
57,25,61,44
58,27,68,32
59,23,50,35
60,42,67,30
61,42,66,21
62,33,96,27
63,36,96,13
64,23,102,14
65,26,116,16
66,35,105,7
67,34,131,7
68,21,122,10
69,28,149,9
70,26,125,3
71,40,128,2
72,38,148,4
73,35,129,8
74,29,141,3
75,33,104,7
76,23,100,8
77,23,69,10
78,17,68,5
79,21,76,3
80,13,52,4
81,21,68,6
82,23,47,2
83,32,45,2
84,24,52,5
85,32,41,3
86,34,43,0
87,19,40,1
88,24,22,1
89,20,34,1
90,23,28,2
91,27,26,1
92,31,24,0
93,19,24,2
94,22,27,1
95,33,22,0
96,28,26,0
97,30,31,2
98,33,29,2
99,31,29,1
100,39,16,0
101,27,13,3
102,25,19,3
103,26,15,0
104,35,16,1
105,36,15,4
106,28,17,2
107,26,21,0
108,28,20,1
109,27,22,0
110,23,27,2
111,27,31,7
112,26,20,1
113,20,23,3
114,29,31,1
115,14,24,5
116,21,31,2
117,30,33,0
118,34,26,0
119,28,32,0
120,48,33,2
121,60,33,0
122,52,38,2
123,36,50,0
124,40,51,1
125,37,37,2
126,32,34,1
127,28,44,0
128,54,56,1
129,37,42,2
130,33,45,0
131,41,43,1
132,29,49,1
133,45,55,2
134,44,48,0
135,48,56,1
136,62,70,1
137,52,48,2
138,52,60,0
139,53,57,2
140,55,67,4
141,49,50,1
142,44,63,2
143,32,78,1
144,50,95,1
145,31,92,1
146,37,94,1
147,38,85,1
148,43,91,2
149,46,93,1
150,37,88,1
151,36,106,2
152,48,106,3
153,50,102,2
154,36,145,1
155,43,222,2
156,31,194,1
157,47,219,2
158,35,262,1
159,45,284,4
160,30,377,3
161,37,270,0
162,35,292,0
163,35,258,1
164,30,250,5
165,38,275,0
166,41,337,0
167,30,279,2
168,35,299,0
169,43,263,2
170,80,269,1
171,78,282,2
172,71,259,3
173,78,275,2
174,58,281,1
175,89,244,2
176,78,314,1
177,74,296,1
178,72,317,2
179,83,389,0
180,78,396,2
181,97,327,2
182,69,375,2
183,64,412,2
184,77,374,3
185,97,394,2
186,72,433,4
187,76,451,1
188,92,445,1
189,76,470,2
190,87,492,1
191,97,519,0
192,68,494,0
193,71,492,3
194,107,565,4
195,64,525,1
196,88,507,2
197,91,599,2
198,95,668,1
199,81,684,3
200,104,683,0
201,105,723,1
202,122,828,2
203,120,825,4
204,118,882,4
205,116,898,3
206,125,824,3
207,155,884,5
208,165,921,6
209,172,1041,1
210,171,904,5
211,244,1082,9
212,218,1019,4
213,199,1090,4
214,280,976,5
215,292,906,11
216,247,928,2
217,310,1031,5
218,353,1050,3
219,351,993,2
220,432,968,3
221,446,1046,1
222,416,1240,0
223,474,1288,0
224,601,1498,1
225,602,1204,0
226,670,1431,0
227,659,1657,0
228,606,1712,0
229,578,1975,0
230,573,1788,0
231,552,2020,0
232,577,2385,0
233,583,3056,0
234,650,2383,0
235,694,1442,0
236,800,1206,0
237,806,1207,0
238,829,1156,0
239,871,1010,0
240,981,1007,0
241,980,895,0
242,1229,978,0
243,1201,1237,0
244,1389,2355,0
245,1370,285,0
246,1621,159,0
247,1669,132,0
248,1835,157,0
249,2107,141,0
250,2811,142,0
251,4127,182,0
252,6245,205,0
253,8201,263,0
254,9717,614,0
255,11269,532,0
