Value,UH,VH
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,1,0
95,4,0
96,7,0
97,8,0
98,13,0
99,59,0
100,226,0
101,1096,0
102,2707,0
103,6830,0
104,6891,0
105,9371,0
106,30323,0
107,6244,0
108,10936,0
109,9412,0
110,9530,0
111,10097,0
112,7852,0
113,5641,0
114,13903,0
115,4497,0
116,5139,0
117,3929,0
118,2350,0
119,2399,0
120,1448,8
121,1513,19
122,2454,36
123,1210,40
124,1273,219
125,1832,757
126,2400,1093
127,3210,2240
128,140910,140931
129,1391,1980
130,75,1373
131,19,887
132,0,370
133,0,528
134,0,487
135,0,434
136,0,461
137,0,1056
138,0,668
139,0,1516
140,0,1817
141,0,1935
142,0,3275
143,0,2871
144,0,692
145,0,2249
146,0,2454
147,0,2499
148,0,1055
149,0,2718
150,0,1074
151,0,3075
152,0,4355
153,0,4842
154,0,790
155,0,3367
156,0,4922
157,0,4305
158,0,4783
159,0,5893
160,0,174
161,0,11435
162,0,9916
163,0,7675
164,0,5383
165,0,5471
166,0,1137
167,0,6390
168,0,7955
169,0,1973
170,0,7866
171,0,4650
172,0,1087
173,0,2239
174,0,1527
175,0,92
176,0,1386
177,0,771
178,0,319
179,0,308
180,0,277
181,0,8
182,0,245
183,0,249
184,0,227
185,0,182
186,0,218
187,0,30
188,0,188
189,0,206
190,0,85
191,0,197
192,0,213
193,0,81
194,0,206
195,0,189
196,0,62
197,0,215
198,0,236
199,0,193
200,0,245
201,0,228
202,0,36
203,0,226
204,0,235
205,0,228
206,0,141
207,0,204
208,0,94
209,0,250
210,0,224
211,0,226
212,0,123
213,0,233
214,0,96
215,0,234
216,0,221
217,0,211
218,0,53
219,0,231
220,0,155
221,0,214
222,0,220
223,0,239
224,0,17
225,0,204
226,0,237
227,0,179
228,0,233
229,0,236
230,0,49
231,0,246
232,0,256
233,0,88
234,0,240
235,0,295
236,0,120
237,0,272
238,0,265
239,0,79
240,0,229
241,0,237
242,0,236
243,0,287
244,0,224
245,0,14
246,0,216
247,0,224
248,0,191
249,0,145
250,0,207
251,0,40
252,0,202
253,0,198
254,0,217
255,0,1415
